danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.675,0.577,7,-5.431,0,0.338,0.331,0,0.0857,0.568,193.777,Rap
0.673,0.649,1,-8.433,0,0.196,0.188,0.00E+00,0.122,0.47,153.075,Rap
0.804,0.66,10,-4.86,0,0.0726,0.0319,0.00E+00,0.103,0.257,94.053,Rap
0.406,0.798,11,-5.585,0,0.432,0.26,0.00E+00,0.461,0.58,71.547,Rap
0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,Rap
0.706,0.485,8,-9.671,1,0.331,0.337,0,0.122,0.144,115.414,Rap
0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,Rap
0.664,0.586,7,-7.813,0,0.238,2.12E-01,0,0.216,0.589,88.502,Rap
0.862,0.65,10,-6.978,0,0.355,0.0207,0,0.568,0.658,131.194,Rap
0.825,0.733,1,-5.625,0,0.0969,0.349,0,0.112,0.62,97.974,Rap
0.847,0.733,10,-6.439,0,0.16,0.00574,1.04E-05,0.151,0.202,130.029,Rap
0.725,0.725,8,-6.067,0,0.159,0.0119,0,0.086,0.515,140.003,Rap
0.735,0.662,1,-7.862,1,0.05,0.0104,0.00E+00,0.153,0.124,87.999,Rap
0.859,0.77,8,-5.358,0,0.345,0.0056,0,0.0731,0.348,155.025,Rap
0.522,0.728,3,-3.801,0,0.0323,0.00134,0,0.132,0.18,124.045,Rap
0.48,0.61,0,-7.042,1,0.305,0.0456,0.00E+00,0.313,0.297,90.034,Rap
0.898,0.567,1,-6.446,1,0.302,0.0165,0.00E+00,0.109,0.602,141.973,Rap
0.942,0.566,11,-4.834,1,0.226,0.0773,0.00E+00,0.11,0.479,132.858,Rap
0.654,0.763,5,-5.486,0,0.0638,0.111,1.85E-05,0.066,0.457,160.929,Rap
0.63,0.804,6,-4.183,1,0.0363,0.215,0,0.253,0.492,123.146,Rap
0.794,0.637,11,-6.373,1,0.267,0.11,0,0.185,0.503,158.098,Rap
0.865,0.382,1,-10.158,1,0.252,0.573,0.00E+00,0.127,0.242,135.045,Rap
0.882,0.602,11,-5.554,1,0.245,0.0177,0,0.178,0.43,142.959,Rap
0.709,0.676,9,-7.369,1,0.329,0.162,0,0.349,0.68,144.067,Rap
0.69,0.881,5,-4.297,0,0.284,0.128,0,0.0927,0.503,169.973,Rap
0.859,0.391,7,-10.252,0,0.701,0.0216,0.00E+00,0.0968,0.354,157.037,Rap
0.657,0.76,1,-3.446,1,0.0505,0.172,0,0.149,0.425,156.082,Rap
0.675,0.562,7,-7.678,1,0.0352,0.233,0.00E+00,0.0816,0.309,130.098,Rap
0.958,0.6,9,-6.996,0,0.118,0.0391,0,0.274,0.607,127.933,Rap
0.908,0.531,0,-8.993,0,0.522,0.0696,0,0.161,0.872,140.038,Rap
0.772,0.812,0,-3.995,0,0.153,0.0834,0,0.115,0.655,97.407,Rap
0.748,0.578,9,-5.72,1,0.194,0.257,0,0.13,0.166,140.016,Rap
0.81,0.566,5,-8.33,1,0.433,0.107,0.00E+00,0.122,0.582,142.069,Rap
0.737,0.597,7,-7.333,1,0.118,0.292,0,0.13,0.448,92.049,Rap
0.645,0.705,1,-5.008,1,0.299,0.000813,0,0.128,0.376,137.133,Rap
0.741,0.87,6,-3.494,0,0.503,0.00813,0,0.114,0.663,184.194,Rap
0.742,0.72,9,-7.36,0,0.163,0.194,0.00E+00,0.112,0.826,147.089,Rap
0.876,0.847,2,-3.574,1,0.232,0.00335,0,0.293,0.882,134.963,Rap
0.651,0.697,10,-5.177,1,0.161,0.106,0,0.0801,0.611,92.064,Rap
0.802,0.738,0,-5.287,0,0.167,0.00366,0,0.223,0.484,151.07,Rap
0.71,0.796,1,-6.365,1,0.261,0.0236,0,0.152,0.733,159.951,Rap
0.822,0.743,10,-4.772,0,0.28,0.016,0.00E+00,0.127,0.636,84.459,Rap
0.808,0.639,6,-5.945,1,0.385,0.616,0.00E+00,0.103,0.713,143.949,Rap
0.889,0.372,7,-10.254,0,0.357,0.013,0,0.184,0.123,133.997,Rap
0.691,0.566,4,-5.213,0,0.227,0.28,0,0.106,0.291,147.982,Rap
0.536,0.622,1,-7.98,1,0.262,0.0744,0.00E+00,0.197,0.227,70.474,Rap
0.957,0.46,1,-7.513,1,0.325,0.00418,0.000748,0.0947,0.191,123.951,Rap
0.834,0.81,8,-4.128,0,0.192,0.121,0,0.343,0.73,75.033,Rap
0.831,0.499,11,-8.442,0,0.114,0.269,0,0.3,0.511,97.956,Rap
0.828,0.37,7,-7.446,0,0.264,0.487,0,0.119,0.557,149.95,Rap
0.641,0.564,1,-6.695,0,0.0443,0.0781,0,0.136,0.114,155.296,Rap
0.512,0.623,9,-6.553,0,0.0808,0.0187,0.00E+00,0.13,0.219,112.15,Rap
